time,mean_speed_mps,power_relative,power_norm
10-Aug-2024 12:00:00,0.342911807237777,0.04032248763199,0.423491676586729
10-Aug-2024 15:00:00,0.356842841927639,0.0454392305308899,0.477230871665539
10-Aug-2024 18:00:00,0.346768553478897,0.0416983740188828,0.43794208545277
10-Aug-2024 21:00:00,0.360384244121186,0.0468055536260765,0.491580840933821
11-Aug-2024 00:00:00,0.332387958169082,0.0367228048715737,0.385685584331161
11-Aug-2024 03:00:00,0.35432494497481,0.0444841385834699,0.46719990597218
11-Aug-2024 06:00:00,0.345909353905185,0.0413891891645442,0.434694835096242
11-Aug-2024 09:00:00,0.353775093517164,0.0442773645652818,0.465028237486935
11-Aug-2024 12:00:00,0.333207080845116,0.0369949688119763,0.38854401817779
11-Aug-2024 15:00:00,0.350899722320644,0.0432064986564291,0.45378134212476
11-Aug-2024 18:00:00,0.33833631252651,0.0387298517924759,0.406764831060145
11-Aug-2024 21:00:00,0.349495815058914,0.0426899788185634,0.448356531678429
12-Aug-2024 00:00:00,0.318546011491238,0.0323233611755368,0.339479908632585
12-Aug-2024 03:00:00,0.333865457837309,0.0372146951788578,0.390851720231052
12-Aug-2024 06:00:00,0.328685440071999,0.0355092417869996,0.372939995070386
12-Aug-2024 09:00:00,0.335690726098197,0.0378284050267131,0.397297280206866
12-Aug-2024 12:00:00,0.32396435757304,0.0340010004365289,0.357099512607158
12-Aug-2024 15:00:00,0.337272330086102,0.0383656127663188,0.40293936777838
12-Aug-2024 18:00:00,0.332892739563116,0.0368903664843056,0.387445419908645
12-Aug-2024 21:00:00,0.348745167500204,0.0424155004152926,0.44547378991287
13-Aug-2024 00:00:00,0.327742521724553,0.0352045155889147,0.369739572276419
13-Aug-2024 03:00:00,0.31441146342446,0.0310810094956808,0.326431963758391
13-Aug-2024 06:00:00,0.312505549595476,0.0305192040119229,0.320531535481156
13-Aug-2024 09:00:00,0.308858277773508,0.0294630522764011,0.309439177457807
13-Aug-2024 12:00:00,0.306297145905353,0.0287361677436602,0.301804987021322
13-Aug-2024 15:00:00,0.31483858941338,0.0312078517198643,0.327764139160656
13-Aug-2024 18:00:00,0.323849417396049,0.0339648233585057,0.356719558583341
13-Aug-2024 21:00:00,0.338124540581886,0.0386571717721442,0.406001500584467
14-Aug-2024 00:00:00,0.339896703736934,0.0392681877383868,0.412418767751289
14-Aug-2024 03:00:00,0.308492762523104,0.0293585727525968,0.308341868950735
14-Aug-2024 06:00:00,0.30880098816766,0.0294466601603197,0.309267017327571
14-Aug-2024 09:00:00,0.299329103485369,0.0268192627309977,0.281672466302885
14-Aug-2024 12:00:00,0.304636926716473,0.02827142089286,0.296923928470817
14-Aug-2024 15:00:00,0.306482848042617,0.0287884660150969,0.302354255778138
14-Aug-2024 18:00:00,0.322399851398365,0.0335107770862749,0.351950884119854
14-Aug-2024 21:00:00,0.337870550435552,0.0385701224814988,0.405087255154533
15-Aug-2024 00:00:00,0.35433601346187,0.0444883075320602,0.467243690845876
15-Aug-2024 03:00:00,0.327906001586917,0.0352572225176805,0.370293133004975
15-Aug-2024 06:00:00,0.312924808423418,0.0306422029777694,0.321823346609978
15-Aug-2024 09:00:00,0.311092136431705,0.0301069735045659,0.316202036014404
15-Aug-2024 12:00:00,0.309704664446666,0.0297059358516866,0.311990090820389
15-Aug-2024 15:00:00,0.321212342393253,0.0331418443481921,0.348076124575641
15-Aug-2024 18:00:00,0.323044847357146,0.0337123055887968,0.354067460958861
15-Aug-2024 21:00:00,0.344785368698087,0.0409870331969087,0.430471144669756
16-Aug-2024 00:00:00,0.362502110969907,0.0476355978137641,0.500298477799212
16-Aug-2024 03:00:00,0.35721569455187,0.0455818130022125,0.478728360867677
16-Aug-2024 06:00:00,0.312680907024584,0.0305706089176713,0.321071421559586
16-Aug-2024 09:00:00,0.324063310802606,0.0340321662407234,0.357426835137229
16-Aug-2024 12:00:00,0.314216253962725,0.0310231533906012,0.325824323198995
16-Aug-2024 15:00:00,0.332772570780225,0.0368504304643075,0.387025987153911
16-Aug-2024 18:00:00,0.314042095308713,0.0309715969564863,0.325282845676046
16-Aug-2024 21:00:00,0.346026697514552,0.0414313250988174,0.435137372709813
17-Aug-2024 00:00:00,0.359278265265566,0.0463759517324087,0.487068896435886
17-Aug-2024 03:00:00,0.383863473023987,0.056562730304967,0.594056738458012
17-Aug-2024 06:00:00,0.328663795784208,0.0355022272842753,0.372866324429172
17-Aug-2024 09:00:00,0.340686563036075,0.0395425811807137,0.415300617204527
17-Aug-2024 12:00:00,0.322015633171739,0.0333911109654262,0.35069407658825
17-Aug-2024 15:00:00,0.339934461239131,0.0392812755386849,0.412556223915741
17-Aug-2024 18:00:00,0.321421520904145,0.0332066339870651,0.348756585390515
17-Aug-2024 21:00:00,0.357869946358361,0.0458327255786012,0.481363599760212
18-Aug-2024 00:00:00,0.366601008431843,0.0492698188834052,0.517462077104196
18-Aug-2024 03:00:00,0.401139866582918,0.0645486965958168,0.67793029022256
18-Aug-2024 06:00:00,0.356352812287538,0.04525229103905,0.475267517629893
18-Aug-2024 09:00:00,0.350937981709675,0.043220632903723,0.453929788722064
18-Aug-2024 12:00:00,0.342309988914273,0.0401105592514432,0.421265873803598
18-Aug-2024 15:00:00,0.344607560790146,0.0409236541075345,0.429805498317165
18-Aug-2024 18:00:00,0.340534999015677,0.039489829760192,0.414746589196062
18-Aug-2024 21:00:00,0.359496293051588,0.0464604326290016,0.487956167004711
19-Aug-2024 00:00:00,0.384392126441188,0.0567967453849741,0.596514509404172
